script	url	sha1sum
Applications/Games/Warcraft III Expansion Set/Online/script.js	https://www.battle.net/download/getInstaller?os=win&installer=Warcraft-III-Setup.exe	
Applications/Games/Xenon 2/Online/script.js	https://repository.playonlinux.com/divers/oldware/Xenon2.zip	9b61e88cad02f663e76fe40a379319a4956546c2
Applications/Games/osu!/Online/script.js	https://m1.ppy.sh/r/osu!install.exe	
Applications/Graphics/Microsoft Paint/Online/script.js		a22c4e367ef9d2cd23f0a8ae8d9ebff5bc1e8a0b
Applications/Graphics/Photofiltre/Online/script.js	http://photofiltre.free.fr/utils/pf-setup-en-653.exe	6ec14d421bf639e1a5a8c128217b94fcee780696
Applications/Internet/Internet Explorer 6.0/Online/script.js	http://files.playonlinux.com/ie/6.0/ie60.exe	8e483db28ff01a7cabd39147ab6c59753ea1f533
Applications/Internet/TeamSpeak 6/v6.0.0-beta3.4/script.js	https://files.teamspeak-services.com/pre_releases/client/6.0.0-beta3.4/teamspeak-client.msi	a52f65be8fdd627c0194772815553a59bb8c2cb2
Applications/Internet/mIRC/v7.83/script.js	https://www.mirc.com/downloads/mirc/49/mirc783.exe	a54122ce586dded7f19e0e8c73a1aa05469be49b
Applications/Multimedia/Mp3tag/Online/script.js	https://download.mp3tag.de/mp3tagv297setup.exe	4bcd421c57da51c274e84edc6b962ead2a03d226
Applications/Office/Adobe Acrobat Reader DC/Online/script.js	https://ardownload2.adobe.com/pub/adobe/reader/win/11.x/11.0.10/en_US/AdbeRdr11010_en_US.exe	98b2b838e6c4663fefdfd341dfdc596b1eff355c
